Date,Open,High,Low,Close,Adj Close,Volume
2011-10-04,3.700000,3.821000,3.746000,3.750000,3.750000,1357
2011-10-05,3.750000,3.820000,3.650000,3.676000,3.676000,3349
2011-10-06,3.676000,3.743000,3.450000,3.550000,3.550000,6642
2011-10-07,3.550000,3.590000,2.900000,3.293000,3.293000,7135
2011-10-08,3.293000,3.283000,2.872000,2.890000,2.890000,2007
2011-10-09,2.890000,3.180000,2.978000,2.978000,2.978000,901
2011-10-10,2.978000,3.200000,3.000000,3.090000,3.090000,1376
2011-10-11,3.090000,3.091000,2.881000,2.929000,2.929000,4519
2011-10-12,2.929000,3.190000,2.910000,3.060000,3.060000,4023
2011-10-13,3.060000,3.100000,2.960000,2.960000,2.960000,4647
2011-10-14,2.960000,3.062000,2.945000,2.970000,2.970000,4751
2011-10-15,2.970000,2.970000,2.702000,2.760000,2.760000,2963
2011-10-16,2.760000,2.800000,2.510000,2.587000,2.587000,1080
2011-10-17,2.587000,2.776000,1.686000,1.921000,1.921000,36122
2011-10-18,1.921000,2.140000,1.720000,1.754000,1.754000,5580
2011-10-19,1.754000,1.810000,1.500000,1.620000,1.620000,6175
2011-10-20,1.620000,1.772000,1.597000,1.740000,1.740000,11524
2011-10-21,1.740000,1.934000,1.750000,1.810000,1.810000,3098
2011-10-22,1.810000,2.430000,1.850000,2.256000,2.256000,8633
2011-10-23,2.256000,2.377000,2.154000,2.274000,2.274000,6638
2011-10-24,2.274000,2.350000,1.824000,1.872000,1.872000,7492
2011-10-25,1.872000,2.140000,1.800000,2.000000,2.000000,4898
2011-10-26,2.000000,2.080000,1.929000,1.980000,1.980000,3317
2011-10-27,1.980000,2.160000,1.957000,2.160000,2.160000,2732
2011-10-28,2.160000,2.329000,2.085000,2.329000,2.329000,3571
2011-10-29,2.329000,2.678000,2.201000,2.574000,2.574000,5649
2011-10-30,2.574000,2.600000,2.206000,2.303000,2.303000,864
2011-10-31,2.303000,2.326000,2.203000,2.301000,2.301000,1261
2011-11-01,2.301000,2.416000,2.230000,2.320000,2.320000,2240
2011-11-02,2.320000,2.440000,2.304000,2.420000,2.420000,1224
2011-11-03,2.420000,2.419000,2.301000,2.310000,2.310000,4025
2011-11-04,2.310000,2.381000,2.210000,2.270000,2.270000,1927
2011-11-05,2.270000,2.320000,2.064000,2.176000,2.176000,560
2011-11-06,2.176000,2.217000,2.098000,2.170000,2.170000,643
2011-11-07,2.170000,2.236000,2.170000,2.210000,2.210000,705
2011-11-08,2.210000,2.338000,2.170000,2.234000,2.234000,1673
2011-11-09,2.234000,2.306000,2.146000,2.150000,2.150000,1806
2011-11-10,2.150000,2.182000,2.100000,2.117000,2.117000,1125
2011-11-11,2.117000,2.220000,2.117000,2.220000,2.220000,1944
2011-11-12,2.220000,2.270000,2.166000,2.166000,2.166000,839
2011-11-13,2.166000,2.207000,2.125000,2.170000,2.170000,445
2011-11-14,2.170000,2.190000,1.578000,1.578000,1.578000,5605
2011-11-15,1.578000,1.778000,1.588000,1.718000,1.718000,1134
2011-11-16,1.718000,1.922000,1.720000,1.922000,1.922000,1410
2011-11-17,1.922000,1.920000,1.519000,1.694000,1.694000,3435
2011-11-18,1.694000,1.725000,1.521000,1.521000,1.521000,3744
2011-11-19,1.521000,1.649000,1.510000,1.618000,1.618000,166
2011-11-20,1.618000,1.790000,1.617000,1.636000,1.636000,792
2011-11-21,1.636000,1.732000,1.610000,1.732000,1.732000,2177
2011-11-22,1.732000,1.775000,1.708000,1.750000,1.750000,862
2011-11-23,1.750000,1.763000,1.693000,1.700000,1.700000,1305
2011-11-24,1.700000,1.906000,1.720000,1.850000,1.850000,845
2011-11-25,1.850000,1.892000,1.752000,1.825000,1.825000,7735
2011-11-26,1.825000,1.899000,1.851000,1.852000,1.852000,532
2011-11-27,1.852000,1.904000,1.852000,1.852000,1.852000,359
2011-11-28,1.852000,1.951000,1.862000,1.915000,1.915000,1300
2011-11-29,1.915000,2.250000,1.944000,2.130000,2.130000,2935
2011-11-30,2.130000,2.298000,2.100000,2.205000,2.205000,7939
2011-12-01,2.205000,2.360000,2.187000,2.280000,2.280000,1641
2011-12-02,2.280000,2.363000,2.280000,2.300000,2.300000,2940
2011-12-03,2.300000,2.300000,2.063000,2.063000,2.063000,6594
2011-12-04,2.063000,2.150000,1.977000,2.116000,2.116000,1044
2011-12-05,2.116000,2.204000,2.116000,2.144000,2.144000,2182
2011-12-06,2.144000,2.300000,2.193000,2.234000,2.234000,1550
2011-12-07,2.234000,2.310000,2.189000,2.189000,2.189000,886
2011-12-08,2.189000,2.292000,2.198000,2.259000,2.259000,3870
2011-12-09,2.259000,2.300000,2.234000,2.234000,2.234000,1267
2011-12-10,2.234000,2.343000,2.223000,2.343000,2.343000,1035
2011-12-11,2.343000,2.495000,2.293000,2.480000,2.480000,1084
2011-12-12,2.480000,2.490000,2.313000,2.342000,2.342000,1043
2011-12-13,2.342000,2.492000,2.360000,2.421000,2.421000,338
2011-12-14,2.421000,2.488000,2.323000,2.410000,2.410000,4404
2011-12-15,2.410000,2.500000,2.400000,2.460000,2.460000,1952
2011-12-16,2.460000,2.516000,2.445000,2.450000,2.450000,2249
2011-12-17,2.450000,2.512000,2.401000,2.430000,2.430000,944
2011-12-18,2.430000,2.460000,2.409000,2.460000,2.460000,147
