Date,Open,High,Low,Close,Adj Close,Volume
2015-08-07,0.593000,20.000000,0.593000,2.560000,2.560000,15200
2015-08-08,2.560000,2.598000,0.561600,0.650000,0.650000,32816
2015-08-09,0.650000,0.800000,0.523500,0.700000,0.700000,4041
2015-08-10,0.700000,0.750000,0.585000,0.680000,0.680000,5645
2015-08-11,0.680000,1.008000,0.591500,0.950000,0.950000,21607
2015-08-12,0.950000,1.190000,0.833300,1.122000,1.122000,42655
2015-08-13,1.122000,1.920000,1.053000,1.623000,1.623000,49990
2015-08-14,1.623000,1.970000,1.520000,1.580000,1.580000,141700
2015-08-15,1.580000,1.700000,1.360000,1.524000,1.524000,62875
2015-08-16,1.524000,1.700000,0.990000,1.326000,1.326000,38051
2015-08-17,1.326000,1.448000,1.050000,1.114000,1.114000,37456
2015-08-18,1.114000,1.259000,1.003000,1.198000,1.198000,34598
2015-08-19,1.198000,1.210000,1.091000,1.162000,1.162000,11783
2015-08-20,1.162000,1.400000,1.130000,1.322000,1.322000,16553
2015-08-21,1.322000,1.380000,1.204000,1.230000,1.230000,19125
2015-08-22,1.230000,1.300000,1.158000,1.201000,1.201000,20602
2015-08-23,1.201000,1.270000,1.130000,1.218000,1.218000,12025
2015-08-24,1.218000,1.218000,1.100000,1.100000,1.100000,20120
2015-08-25,1.100000,1.130000,1.000000,1.040000,1.040000,41164
2015-08-26,1.040000,1.070000,0.933800,1.030000,1.030000,21946
2015-08-27,1.030000,1.190000,1.003000,1.028000,1.028000,36793
2015-08-28,1.028000,1.110000,1.003000,1.050000,1.050000,9260
2015-08-29,1.050000,1.099000,1.020000,1.036000,1.036000,1576
2015-08-30,1.036000,1.230000,1.036000,1.196000,1.196000,28199
2015-08-31,1.196000,1.235000,1.091000,1.182000,1.182000,34331
2015-09-01,1.182000,1.245000,1.182000,1.236000,1.236000,20578
2015-09-02,1.236000,1.236000,1.141000,1.141000,1.141000,12839
2015-09-03,1.141000,1.183000,1.083000,1.160000,1.160000,12359
2015-09-04,1.160000,1.171000,1.100000,1.153000,1.153000,13129
2015-09-05,1.153000,1.230000,1.135000,1.200000,1.200000,17791
2015-09-06,1.200000,1.227000,1.151000,1.174000,1.174000,19881
2015-09-07,1.174000,1.243000,1.113000,1.119000,1.119000,31633
